country	bags	month	price
Angola	51,841	4	120,5216
Benin	0,917	10	24,0067
Bolivia (Plurinational State of)	81,265	4	158,2941
Brazil	58210,712	4	81,483
Burundi	272,468	4	85,6928
Cameroon	268,209	10	70,8467
Central African Republic	55,138	10	30,7434
Colombia	14100,118	10	108,6836
Congo	3	6	14,1896
Costa Rica	1471,763	10	138,0947
Côte d'Ivoire	1929,197	10	61,9708
Cuba	130,182	6	135,7138
Democratic Republic of Congo	390,601	10	62,369
Dominican Republic	401,634	6	148,262
Ecuador	558,935	4	100,4471
El Salvador	660,691	10	65,551
Ethiopia	7343,432	10	69,3104
Gabon	0,5	10	77,0689
Ghana	14,473	10	40,8853
Guatemala	3605,764	10	122,1751
Guinea	178,377	10	92,2648
Guyana	9,505	10	66,19554067
Haiti	346,649	6	22,4856
Honduras	5931,22	10	72,3684
India	4987,626	10	105,9568
Indonesia	11432,942	4	117,9882
Jamaica	22,879	10	101,4442
Kenya	843,707	10	71,0095
Lao People's Democratic Republic	621,844	10	140,8510947
Liberia	5,85	10	17,28596924
Madagascar	383,312	4	69,5695
Malawi	16,043	4	96,3484
Mexico	3984,601	10	106,0489
Nepal	0,694	10	15,96467352
Nicaragua	2882,319	10	71,8509
Nigeria	42,469	10	51,554
Panama	114,405	10	111,7558
Papua New Guinea	751,721	4	57,5014
Paraguay	20,003	4	84,37725153
Peru	3836,381	4	78,8416
Philippines	306,534	6	142,0105
Rwanda	347,984	4	46,245
Sierra Leone	39,987	10	31,8686
Sri Lanka	36,218	10	98,9851
Tanzania	926,392	6	63,3829
Thailand	516,578	10	124,5841
Timor-Leste	103,052	4	131,8398121
Togo	40,617	10	70,5011
Trinidad & Tobago	11,691	10	79,2287
Uganda	5509,154	10	60,8494
Venezuela	650,104	10	155,0522812
Viet Nam	30487,164	10	90,2336
Yemen	91,427	10	87,26121148
Zambia	14,542	6	84,7926
Zimbabwe	9,078	4	59,20186975
