ID plataforma anuncio mercado investimento cliques conversoes
1 Instagram Banner Alimentação 9.94394792279301 515.339019161535 33.7387137772214
2 Facebook Texto Moda 5.38495106798502 783.369484585876 19.1655683049063
3 Facebook Vídeo Moda 7.61704293062957 623.873154758791 40.0799026763235
4 Google Texto Moda 10.5689402576446 549.874827956409 60.5470547370213
5 Facebook Banner Moda 8.78333034559259 596.479741136969 35.4649213746004
6 Google Vídeo Alimentação 7.25114930403056 720.512065307324 32.0314739998721
7 Google Banner Alimentação 10.300665557131 542.946457178527 28.0458970260138
8 Google Vídeo Tecnologia 12.5628314140071 317.793840862228 58.0375594368723
9 Instagram Banner Alimentação 11.4304036944572 384.27293245571 72.3370541868186
10 Google Banner Moda 7.39412500415165 647.871466506827 26.0603780818549
11 Google Texto Moda 10.0264136287965 467.114753113246 49.4013316427445
12 Instagram Banner Moda 13.0506028632781 254.043011435341 85.8181415614424
13 Google Texto Alimentação 7.68444232260095 626.730094025281 49.2453349605191
14 Google Texto Moda 9.55188985909848 539.320398318063 30.9274326471041
15 Google Banner Alimentação 11.0734399671305 404.384049541015 32.6373069720607
16 Instagram Banner Tecnologia 9.43163648370289 519.626932120715 62.3864959701259
17 Google Banner Alimentação 11.0055217124855 474.332957246117 56.8843022668714
18 Google Banner Alimentação 8.86188292989346 625.157399896045 40.977101256812
19 Google Texto Tecnologia 10.1404792053402 501.341194312541 12.4625720310137
20 Facebook Vídeo Alimentação 9.97717086921378 500.312016723438 54.345818467197
21 Instagram Texto Tecnologia 9.37853456102111 504.526593548071 24.9864502792834
22 Facebook Banner Tecnologia 8.68320359252536 650.348046833277 18.1062746100379
23 Instagram Texto Moda 11.4074767014163 382.820868054527 76.1414291851505
24 Instagram Banner Alimentação 13.090638352163 166.686302722886 103.694260388458
25 Instagram Banner Tecnologia 7.54533500657767 679.750676966605 37.9735624198013
26 Instagram Vídeo Alimentação 11.1756786357301 406.046013394412 61.3106407451421
27 Google Banner Tecnologia 9.24478553255251 480.575227741198 49.605327722857
28 Facebook Banner Alimentação 9.5660448658208 553.509445481563 46.5165088844406
29 Facebook Banner Moda 9.06617267567854 531.22040609385 42.6916689279008
30 Facebook Banner Moda 8.96810867941358 606.790188775222 65.3800435115654
31 Instagram Texto Tecnologia 9.78032663177604 496.353545626215 60.3977114493733
32 Facebook Vídeo Moda 11.5125867625279 388.713608366907 67.8672678041053
33 Facebook Texto Tecnologia 8.20771114055622 678.159861840797 25.4544867306708
34 Facebook Vídeo Tecnologia 9.62264933390317 630.837813072073 24.771287834514
35 Instagram Banner Alimentação 12.3367860378171 406.626112063492 76.7453771337117
36 Google Banner Alimentação 13.25837909698 236.968529810018 65.9925414179131
37 Facebook Texto Moda 8.75459180801643 595.443030151113 33.726414798797
38 Google Vídeo Alimentação 9.45135700859105 570.635944340537 21.7975845592886
39 Facebook Banner Tecnologia 11.3530812027356 419.73067034401 57.5034119513911
40 Google Banner Tecnologia 15.1359720506324 79.4810480760589 85.9566256525121
41 Google Vídeo Moda 10.9485547153833 352.989767317065 89.4978664077799
42 Instagram Banner Moda 10.415017208266 533.335779657781 53.7863393052093
43 Facebook Vídeo Tecnologia 8.69149174563671 559.884574608746 46.0723403888689
44 Instagram Banner Moda 6.93949178664578 727.90617599259 35.2418187335951
45 Instagram Vídeo Moda 7.40909768522395 752.064437802139 14.7877373416649
46 Facebook Banner Moda 5.94311184492093 768.651752486633 -4.56910731416642
47 Instagram Banner Alimentação 10.323369308785 407.328961630077 49.9249195197056
48 Instagram Vídeo Tecnologia 11.579623782394 445.264410784383 57.2014657887463
49 Google Vídeo Alimentação 8.28498498674867 636.699530081559 13.3022403947495
50 Instagram Vídeo Moda 8.30177763909012 631.093865141351 26.7842211353536
51 Google Vídeo Alimentação 9.88904335743225 503.8691625097 46.716111583767
52 Google Texto Moda 7.80142368128014 580.178007671597 37.6674715659674
53 Google Texto Alimentação 8.67934251350409 674.293216826877 31.0002010580845
54 Google Vídeo Alimentação 9.72863404825123 494.116006042884 54.8638769267179
55 Facebook Banner Moda 8.76735249347161 621.39584408266 30.225731768349
56 Google Banner Alimentação 13.845750782596 225.237192494241 57.4231172727485
57 Facebook Vídeo Tecnologia 14.2764932904414 184.899433114254 92.6205950115983
58 Facebook Vídeo Alimentação 9.61672903944895 636.581322678431 55.7317711687785
59 Instagram Banner Alimentação 8.9113971921723 607.446653324305 38.6814420117009
60 Google Texto Moda 8.15655584942774 611.96379992398 4.10454345948524
